rule_used,comment_id,created_at,updated_at,user_id,confidence,source_lang,comment_type,dest_lang,translation
,18213413,2019-08-05 10:51:44,2019-08-05 10:51:44,13991889,,en,episode,fr,Comment Black Lightning pourrait-il être introduit dans Arrowverse? soi-disant il sera dans le croisement (crise)
,18213413,2019-08-26 17:17:33,2019-08-26 17:17:33,13991889,,en,episode,it,Come si potrebbe introdurre Black Lightning su Arrowverse? presumibilmente sarà nel crossover (crisi)
,18213413,2019-08-31 19:38:38,2019-08-31 19:38:38,13991889,,en,episode,pt,Como poderia o Black Lightning ser introduzido no Arrowverse? supostamente ele estará no crossover (crise)
,19186739,2020-04-02 19:08:43,2020-04-02 19:08:43,13991889,,en,episode,de,Wann ist der Krisenübergang?
,19186739,2019-11-19 13:13:45,2019-11-19 13:13:45,13991889,,en,episode,fr,Quand la crise se croise-t-elle?
,19186739,2019-11-19 14:16:35,2019-11-19 14:16:35,13991889,,en,episode,pt,Quando é que a crise passa?
,1341434,2020-03-07 09:10:28,2020-03-07 09:10:28,13991889,,es,show,en,Very good series; if you liked the movies you should watch the series because you will surely like it 😁 highly recommended if you like the police / detective genre with action and adventure
,1341434,2020-02-17 03:35:29,2020-02-17 03:35:29,13991889,,es,show,pt,"Série muito boa; se você gostou dos filmes, deveria assistir à série, porque certamente gostará 😁 altamente recomendado se você gosta do gênero policial / detetive com ação e aventura"
,1385090,2020-05-23 21:31:16,2020-05-23 21:31:16,13991889,,es,show,en,Is very good! If you liked Rick and Morty for sure this one too; highly recommended
,1385090,2020-05-22 07:27:02,2020-05-22 07:27:02,13991889,,es,show,pl,"Jest bardzo dobry! Jeśli podobał Ci się Rick i Morty, to na pewno też; wysoce polecany"
