updated_at,user_id,poll_id,poll_choice_id,lang_taken,created_at
2020-01-02 06:08:26,13991889,374,1350,es,2020-01-02 06:08:26
2019-06-08 06:48:28,13991889,471,1715,es,2019-06-08 06:48:28
2018-11-12 00:05:33,13991889,778,2917,es,2018-11-12 00:05:33
2018-11-12 00:05:09,13991889,811,3041,es,2018-11-12 00:05:09
2018-11-12 00:04:58,13991889,1124,4254,es,2018-11-12 00:04:58
2018-11-12 00:04:35,13991889,1151,4362,es,2018-11-12 00:04:35
2018-11-12 00:04:14,13991889,1185,4490,es,2018-11-12 00:04:14
2018-11-12 00:04:03,13991889,1210,4592,es,2018-11-12 00:04:03
2018-11-15 09:46:47,13991889,1258,4778,es,2018-11-15 09:46:47
2018-11-15 09:46:24,13991889,1263,4797,es,2018-11-15 09:46:24
2019-03-21 23:13:49,13991889,1681,6444,es,2019-03-21 23:13:49
2019-05-11 03:46:29,13991889,1869,7188,es,2019-05-11 03:46:29
2019-07-11 05:41:46,13991889,1887,7255,es,2019-07-11 05:41:46
2019-06-24 04:08:35,13991889,1890,7268,en,2019-06-24 04:08:35
2019-06-24 04:08:14,13991889,1911,7347,en,2019-06-24 04:08:14
2019-10-16 02:29:11,13991889,1912,7350,es,2019-10-16 02:29:11
2019-06-26 18:21:30,13991889,1938,7449,en,2019-06-26 18:21:30
